x,y,amenity,classification,key_value,category
77.1518947,28.533492,cafe,activity,{'amenity': 'cafe'},commercial
77.152001,28.5336472,bank,activity,{'amenity': 'bank'},commercial
77.166546,28.5084497,school,activity,{'amenity': 'school'},commercial
77.1634819,28.5117155,school,activity,{'amenity': 'school'},commercial
77.1682153,28.5101062,atm,activity,{'amenity': 'atm'},commercial
77.1676347,28.5097958,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.168219,28.5099306,fast_food,activity,{'amenity': 'fast_food'},commercial
77.164493,28.5573088,cinema,activity,{'amenity': 'cinema'},commercial
77.1645488,28.5578459,bank,activity,{'amenity': 'bank'},commercial
77.1636432,28.5574228,fast_food,activity,{'amenity': 'fast_food'},commercial
77.150715,28.4946609,fuel,activity,{'amenity': 'fuel'},commercial
77.1378574,28.489358,school,activity,{'amenity': 'school'},commercial
77.1723526,28.5041157,fuel,activity,{'amenity': 'fuel'},commercial
77.2227829,28.5614441,fuel,activity,{'amenity': 'fuel'},commercial
77.2244577,28.5626728,,activity,{'shop': 'supermarket'},commercial
77.3230956,28.6043612,fuel,activity,{'amenity': 'fuel'},commercial
77.3154765,28.6345574,fuel,activity,{'amenity': 'fuel'},commercial
77.1007834,28.5262252,fuel,activity,{'amenity': 'fuel'},commercial
77.1070198,28.5336932,fuel,activity,{'amenity': 'fuel'},commercial
77.3233182,28.6041804,fuel,activity,{'amenity': 'fuel'},commercial
77.3170505,28.6438531,fuel,activity,{'amenity': 'fuel'},commercial
77.1570574,28.525047,bank,activity,{'amenity': 'bank'},commercial
77.1561648,28.5262695,fuel,activity,{'amenity': 'fuel'},commercial
77.194235,28.64725,bank,activity,{'amenity': 'bank'},commercial
77.194444,28.5392027,cafe,activity,{'amenity': 'cafe'},commercial
77.2299189,28.6069461,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1930203,28.622325,,activity,{'leisure': 'stadium'},commercial
77.185421,28.5983754,school,activity,{'amenity': 'school'},commercial
77.2089741,28.5737882,fuel,activity,{'amenity': 'fuel'},commercial
77.1893001,28.5444176,university,activity,{'amenity': 'university'},commercial
77.1723786,28.6458869,atm,activity,{'amenity': 'atm'},commercial
77.1722681,28.6457998,fast_food,activity,{'amenity': 'fast_food'},commercial
77.2193166,28.5691433,atm,activity,{'amenity': 'atm'},commercial
77.1669817,28.5728012,fire_station,activity,{'amenity': 'fire_station'},commercial
77.1431664,28.5351953,fuel,activity,{'amenity': 'fuel'},commercial
